FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,"","",Afghanistan,2022-01-01T04:22:14Z,33.93911,67.709953,158084,7356,,,Afghanistan,406.089743202774,4.65322233749146
,"","",Albania,2022-01-01T04:22:14Z,41.1533,20.1683,210224,3217,,,Albania,7305.02467162416,1.53027247126874
,"","",Algeria,2022-01-01T04:22:14Z,28.0339,1.6596,218432,6276,,,Algeria,498.122701437227,2.87320539115148
,"","",Andorra,2022-01-01T04:22:14Z,42.5063,1.5218,23740,140,,,Andorra,30725.4254837248,0.58972198820556
,"","",Angola,2022-01-01T04:22:14Z,-11.2027,17.8739,81593,1770,,,Angola,248.25757521359,2.16930373929136
,"","",Antigua and Barbuda,2022-01-01T04:22:14Z,17.0608,-61.7964,4283,119,,,Antigua and Barbuda,4373.62143615718,2.7784263366799
,"","",Argentina,2022-01-01T04:22:14Z,-38.4161,-63.6167,5654408,117169,,,Argentina,12510.9210977831,2.07217095052214
,"","",Armenia,2022-01-01T04:22:14Z,40.0691,45.0382,344930,7972,,,Armenia,11640.3227014809,2.31119357550807
,"",Australian Capital Territory,Australia,2022-01-01T04:22:14Z,-35.4735,149.0124,4010,15,,,"Australian Capital Territory, Australia",1039.00957720159,0.374064837905237
,"",New South Wales,Australia,2022-01-01T04:22:14Z,-33.8688,151.2093,210051,668,,,"New South Wales, Australia",2587.84183296378,0.353592456694257
,"",Northern Territory,Australia,2022-01-01T04:22:14Z,-12.4634,130.8456,572,1,,,"Northern Territory, Australia",263.029315960912,0.174825174825175
,"",Queensland,Australia,2022-01-01T04:22:14Z,-27.4698,153.0251,13863,7,,,"Queensland, Australia",315.218453719089,0.0504941210416216
,"",South Australia,Australia,2022-01-01T04:22:14Z,-34.9285,138.6007,11078,6,,,"South Australia, Australia",750.24195844008,0.0541614009749052
,"",Tasmania,Australia,2022-01-01T04:22:14Z,-42.8821,147.3272,785,13,,,"Tasmania, Australia",225.770308123249,1.65605095541401
,"",Victoria,Australia,2022-01-01T04:22:14Z,-37.8136,144.9631,183976,1534,,,"Victoria, Australia",2774.9438151405,0.833804409270775
,"",Western Australia,Australia,2022-01-01T04:22:14Z,-31.9505,115.8605,1161,9,,,"Western Australia, Australia",44.1344180034973,0.775193798449612
,"","",Austria,2022-01-01T04:22:14Z,47.5162,14.5501,1270811,16815,,,Austria,14196.7822881506,1.07404942363597
,"","",Azerbaijan,2022-01-01T04:22:14Z,40.1431,47.5769,616947,8358,,,Azerbaijan,6084.78500469713,1.3547354959178
,"","",Bahamas,2022-01-01T04:22:14Z,25.025885,-78.035889,24476,717,,,Bahamas,6224.06216941981,2.92940022879555
,"","",Bahrain,2022-01-01T04:22:14Z,26.0275,50.55,282062,1394,,,Bahrain,16576.4467557563,0.494217583368196
,"","",Bangladesh,2022-01-01T04:22:14Z,23.685,90.3563,1585539,28072,,,Bangladesh,962.745121220109,1.77050201855647
,"","",Barbados,2022-01-01T04:22:14Z,13.1939,-59.5432,28565,260,,,Barbados,9940.11225906581,0.910204796079118
,"","",Belarus,2022-01-01T04:22:14Z,53.7098,27.9534,699110,5578,,,Belarus,7398.52101542534,0.797871579579751
,"",Antwerp,Belgium,2022-01-01T04:22:14Z,51.2195,4.4024,303202,0,,,"Antwerp, Belgium",16318.8527792997,0
,"",Brussels,Belgium,2022-01-01T04:22:14Z,50.8503,4.3517,249566,0,,,"Brussels, Belgium",20650.1718599767,0
,"",East Flanders,Belgium,2022-01-01T04:22:14Z,51.0362,3.7373,260967,0,,,"East Flanders, Belgium",17224.8169054245,0
,"",Flemish Brabant,Belgium,2022-01-01T04:22:14Z,50.9167,4.5833,184728,0,,,"Flemish Brabant, Belgium",16116.910593932,0
,"",Hainaut,Belgium,2022-01-01T04:22:14Z,50.5257,4.0621,252893,0,,,"Hainaut, Belgium",18813.0699777793,0
,"",Liege,Belgium,2022-01-01T04:22:14Z,50.4496,5.8492,226576,0,,,"Liege, Belgium",20467.7179238874,0
,"",Limburg,Belgium,2022-01-01T04:22:14Z,50.9739,5.342,139220,0,,,"Limburg, Belgium",15928.1870103244,0
,"",Luxembourg,Belgium,2022-01-01T04:22:14Z,50.0547,5.4677,56074,0,,,"Luxembourg, Belgium",19700.1103155587,0
,"",Namur,Belgium,2022-01-01T04:22:14Z,50.331,4.8221,100334,0,,,"Namur, Belgium",20297.1729125575,0
,"",Unknown,Belgium,2022-01-01T04:22:14Z,,,34742,28331,,,"Unknown, Belgium",,81.5468309251051
,"",Walloon Brabant,Belgium,2022-01-01T04:22:14Z,50.4,4.35,81063,0,,,"Walloon Brabant, Belgium",20085.0348985007,0
,"",West Flanders,Belgium,2022-01-01T04:22:14Z,51.0536,3.1458,215978,0,,,"West Flanders, Belgium",18061.4419181867,0
,"","",Belize,2022-01-01T04:22:14Z,17.1899,-88.4976,32840,602,,,Belize,8259.12112287832,1.83313032886724
,"","",Benin,2022-01-01T04:22:14Z,9.3077,2.3158,24935,161,,,Benin,205.680052408614,0.64567876478845
,"","",Bhutan,2022-01-01T04:22:14Z,27.5142,90.4336,2660,3,,,Bhutan,344.732845005003,0.112781954887218
,"","",Bolivia,2022-01-01T04:22:14Z,-16.2902,-63.5887,599753,19680,,,Bolivia,5137.93806217735,3.28135082275537
