Entity,Code,Year,Deaths - Sex: all - Age: 0-4 - Variant: estimates,Deaths - Sex: all - Age: 5-9 - Variant: estimates,Deaths - Sex: all - Age: 10-14 - Variant: estimates,Deaths - Sex: all - Age: 15-19 - Variant: estimates,Deaths - Sex: all - Age: 20-24 - Variant: estimates,Deaths - Sex: all - Age: 25-29 - Variant: estimates,Deaths - Sex: all - Age: 30-34 - Variant: estimates,Deaths - Sex: all - Age: 35-39 - Variant: estimates,Deaths - Sex: all - Age: 40-44 - Variant: estimates,Deaths - Sex: all - Age: 45-49 - Variant: estimates,Deaths - Sex: all - Age: 50-54 - Variant: estimates,Deaths - Sex: all - Age: 55-59 - Variant: estimates,Deaths - Sex: all - Age: 60-64 - Variant: estimates,Deaths - Sex: all - Age: 65-69 - Variant: estimates,Deaths - Sex: all - Age: 70-74 - Variant: estimates,Deaths - Sex: all - Age: 75-79 - Variant: estimates,Deaths - Sex: all - Age: 80-84 - Variant: estimates,Deaths - Sex: all - Age: 85-89 - Variant: estimates,Deaths - Sex: all - Age: 90-94 - Variant: estimates,Deaths - Sex: all - Age: 95-99 - Variant: estimates,Deaths - Sex: all - Age: 100+ - Variant: estimates
India,IND,1950,4268663,199364,140931,190062,216662,220352,216018,222826,224588,218071,246060,232674,285621,231204,260760,222561,149462,73641,25153,7424,122
India,IND,1951,4338945,203204,141487,192271,219229,222945,218440,225132,228187,222522,250855,240017,289374,245083,255389,226375,150194,73267,23785,5907,396
India,IND,1952,4376175,205636,140569,193478,220519,224478,219473,226736,229354,228019,251201,252077,285058,266695,245360,232128,150872,72971,22580,5006,605
India,IND,1953,4420023,212104,142027,197241,224804,229223,223447,231513,232442,236990,251982,268704,279272,292347,237468,237870,152279,73008,21985,4335,658
India,IND,1954,4408560,209275,135258,191567,219058,223852,217618,226690,226723,236898,246735,276467,271471,307289,233630,238733,153366,72838,21707,3769,586
India,IND,1955,4415020,217957,134174,190602,218929,224331,217764,227235,226770,240247,248007,284371,273228,317839,239889,237732,155629,73416,21678,3489,461
India,IND,1956,4422838,227069,134459,190183,220010,226030,219298,228798,228321,243390,252290,289402,281609,321798,254990,233059,159334,74192,21670,3351,380
India,IND,1957,4437888,238631,136428,190526,222537,229040,222386,231527,231639,246380,260016,291411,297382,318658,279288,225000,164712,75003,21699,3251,345
India,IND,1958,4436017,248017,137007,188930,222416,229317,223127,231899,233255,246703,267402,289955,315075,310999,305560,218190,169350,75899,21747,3207,311
India,IND,1959,4425046,252855,136947,186201,220231,228000,222255,230720,233119,245597,272538,288655,329140,306938,325572,218113,171215,77120,21880,3212,276
India,IND,1960,4438074,259609,140071,185831,219138,228184,223074,231423,234444,246700,277689,291463,340245,311010,338624,226337,171006,78692,22175,3244,257
India,IND,1961,4469358,269717,145507,187796,219367,230236,225759,234115,237392,250024,283171,298443,348652,323219,345086,242911,168175,81038,22517,3279,250
India,IND,1962,4493464,276927,149968,188713,217459,230740,226696,235320,238602,252544,285916,307355,351368,342195,342508,267153,162606,83972,22785,3312,248
India,IND,1963,4517731,283347,154704,189059,214432,229823,226347,235503,238807,254766,287281,317603,351653,364771,336334,293563,158402,86390,23118,3362,250
India,IND,1964,4547786,290968,158867,191822,212533,228656,226183,235916,239458,257416,289549,327908,354669,385466,335475,314379,159739,87263,23631,3438,255
India,IND,1965,4856306,345985,185386,207154,220253,235346,234749,246059,251275,272401,306648,352436,377217,418101,354712,334639,171659,89292,24974,3653,271
India,IND,1966,4846432,354381,186991,212002,218826,231128,232345,244360,250688,273594,309682,359631,387288,428782,368576,338931,183462,86618,25515,3700,275
India,IND,1967,4842372,364701,188831,217608,217879,226161,229696,242230,250147,274654,313795,365530,402005,434165,391020,335103,200489,82942,26334,3750,279
India,IND,1968,4554845,327975,164951,212086,208333,212499,217111,229212,237950,262670,304247,354835,402730,420415,403313,320622,213242,78023,26246,3719,279
India,IND,1969,4552650,338231,165250,215741,209355,207403,212477,225639.98,236524,263011,308309,359700,418460,424954,425444,318838,226363,79334,26723,3919,298
India,IND,1970,4553243,348574,165760,217855,213787,203895,207626,222169,235330,263765,312223,365335,431813,432858,440894,324068,233097,83851,26862,4156,322
India,IND,1971,4570164,360191,167380,220791,220632,202864,203620,219814,235074,265432,316370,371792,442828,443932,449485,335586,234225,91138,26646,4465,349
India,IND,1972,4591196,370744,168741,222340,226839,200858,197778,216367,233780,266444,319358,378076,450146,457849,450760,353824,230314,101109,26268,4856,379
India,IND,1973,4586124,378689,168976,223369,234360,199823,192501,213052,232378,267192,321355,383691,454284,472068,447466,373928,224750,111190,26332,5209,413
India,IND,1974,4538606,380094,166179,221768,238038,199515,186342,207536,229087,265915,321220,386688,456128,482248,444886,389658,223205,118457,27544,5437,450
India,IND,1975,4493923,385075,165648,221075,240567,203056,182544,202971,227066,266002,322765,390874,460876,491859,448866,401403,228454,123292,30193,5646,500
India,IND,1976,4455361,388737,164261,219432,241417,206292,179207,197680,224619,265564,324029,394313,466466,499513,457883,409201,239477,125883,33970,5789,562
India,IND,1977,4395399,393930,163707,217621,240912,209471,176482,192235,222425,265098,325579,397535,473765,505772,472923,413480,256552,126446,38871,5901,637
India,IND,1978,4321053,393256,160572,214132,238168,211986,173433,186236,219286,263681,326419,399756,481434,510749,490970,416587,276281,126706,43943,6146,709
India,IND,1979,4258721,393188,157986,210408,233622,211918,172145,180729,215343,261849,326843,401770,488871,516521,508308,423100,293964,129734,47995,6742,771
India,IND,1980,4221704,392092,155564,206731,229218,210436,173779,176849,211398,260297,327523,404406,496395,524387,523830,434404,308015,136251,50796,7666,826
India,IND,1981,4171059,389757,153242,202503,224163,207948,175576,173590,206775,258447,327729,406842,503062,533081,536879,449704,318323,145743,52496,8868,871
India,IND,1982,4111065,386671,151101,198383,219148,205071,177974,171058,201870,256828,327764,409429,508947,542879,546989,468969,324632,158082,53148,10335,913
India,IND,1983,4053913,382451,149041,194585,214494,201941,181135,169149,197224,255246,327728,412115,514242,553283,555047,489791,329115,171236,53612,11803,980
India,IND,1984,4004173,378169,147166,191180,210507,198889,183373,169693,193595,253395,327821,414836,519532,563429,563259,508427,335371,182225,55205,12928,1104
India,IND,1985,3941858,374831,145425,188191,206685,196026,184154,172651,191139,251186,327936,417485,524914,572839,572283,523418,344497,190170,58168,13658,1279
India,IND,1986,3886883,371618,143707,185970,203509,194062,185198,176675,189896,248780,328410,420217,530417,581511,581765,534912,356009,195321,62230,14083,1497
