sut,p2014,p2015,p2016,p2017,p2018,p2019,p2020,p2021
India,1258483000,1274359000,1290235000,1304457000,1318678000,1332900000,1347121000,1361343000
Andhra Pradesh,50654000,51012000,51371000,51655000,51140000,52221000,52504000,52787000
Arunachal Pradesh,1429000,1444000,1459000,1474000,1489000,1504000,1519000,1533000
Assam,32383000,32776000,33168000,33543000,33918000,34293000,34668000,35043000
Bihar,110145000,112161000,114176000,115957000,117739000,119520000,121302000,123083000
Chhattisgarh,26761000,27166000,27571000,27956000,28340000,28724000,29109000,29493000
Goa,1491000,1501000,1512000,1521000,1531000,1540000,1549000,1559000
Gujarat,63271000,64214000,65158000,66084000,67010000,67936000,68862000,69788000
Haryana,26614000,27034000,27455000,27861000,28266000,28672000,29077000,29483000
Himachal Pradesh,7041000,7100000,7158000,7206000,7253000,7300000,7347000,7394000
Jharkhand,34675000,35238000,35800000,36334000,18897000,19165000,19433000,19701000
Karnataka,62975000,63602000,64229000,64752000,65275000,65798000,66322000,66845000
Kerala,34109000,34344000,34578000,34761000,34943000,35125000,35307000,35489000
Madhya Pradesh,76334000,77570000,78806000,79948000,81090000,82232000,83374000,84516000
Maharashtra,116186000,117456000,118727000,119869000,121011000,122153000,123295000,124437000
Manipur,2949000,2980000,3012000,3042000,3073000,3103000,3134000,3165000
Meghalaya,3064000,3096000,3129000,3161000,3192000,3224000,3256000,3288000
Mizoram,1133000,1145000,1157000,1169000,1181000,1192000,1204000,1216000
Nagaland,2043000,2065000,2086000,2108000,2129000,2150000,2171000,2192000
Odisha,42667000,42897000,43128000,43309000,43490000,43671000,43852000,44033000
Punjab,28581000,28861000,29140000,29380000,29619000,29859000,30099000,30339000
Rajasthan,71963000,73102000,74240000,75248000,76256000,77264000,78273000,79281000
Sikkim,631000,637000,644000,650000,657000,664000,670000,677000
Tamil Nadu,73640000,74137000,74635000,74989000,75342000,75695000,76049000,76402000
Telangana,35878000,36170000,36462000,36714000,36967000,37220000,37473000,37725000
Tripura,3794000,3834000,3874000,3914000,3953000,3992000,4032000,4071000
Uttarakhand,10487000,10621000,10755000,10844000,11013000,11141000,11270000,11399000
Uttar Pradesh,209577000,212832000,216087000,219051000,222015000,224979000,227943000,230907000
West Bengal,93558000,94318000,95079000,95688000,96297000,96906000,97516000,98125000
A & N Islands,387000,390000,392000,394000,395000,397000,399000,400000
Chandigarh,1104000,1120000,1136000,1151000,1165000,1179000,1193000,1208000
D & N Haveli and Daman & Diu,704000,743000,781000,840000,900000,959000,1018000,1077000
Delhi,17921000,18299000,18677000,19056000,19435000,19814000,20193000,20571000
Jammu & Kashmir,12645000,12771000,12897000,12999000,13101000,13203000,13305000,13408000
Ladakh,282000,285000,287000,289000,291000,293000,295000,297000
Lakshadweep,66000,66000,67000,67000,67000,68000,68000,68000
Puducherry,1340000,1371000,1402000,1436000,1470000,1504000,1537000,1571000
