sut,p2014,p2015,p2016,p2017,p2018,p2019,p2020,p2021
India,1263775000,1279651000,1294976000,1309197000,1323419000,1337640000,1351862000,1365482000
Andhra Pradesh,50773000,51132000,51466000,51749000,52032000,52315000,52599000,52849000
Arunachal Pradesh,1433000,1448000,1463000,1478000,1493000,1507000,1522000,1537000
Assam,32514000,32906000,33293000,33668000,34043000,34418000,34793000,35155000
Bihar,110817000,112832000,114770000,116551000,118333000,120114000,121895000,123695000
Chhattisgarh,26896000,27301000,27700000,28084000,28468000,28852000,29237000,29607000
Goa,1494000,1505000,1515000,1524000,1534000,1543000,1553000,1561000
Gujarat,63585000,64529000,65467000,66393000,67319000,68245000,69171000,70075000
Haryana,26754000,27175000,27590000,27996000,28401000,28807000,29213000,29604000
Himachal Pradesh,7061000,7119000,7174000,7221000,7268000,7315000,7362000,7406000
Jharkhand,34863000,35425000,35978000,36512000,37047000,37581000,38115000,38637000
Karnataka,63184000,63811000,64403000,64926000,65450000,65973000,66496000,66986000
Kerala,34188000,34422000,34639000,34821000,35003000,35186000,35368000,35537000
Madhya Pradesh,76746000,77982000,79187000,80329000,81471000,82613000,83755000,84860000
Maharashtra,116609000,117880000,119107000,120249000,121391000,122533000,123676000,124762000
Manipur,1488000,1504000,1519000,1534000,1549000,1563000,1578000,1593000
Meghalaya,3072000,3105000,3137000,3169000,3200000,3232000,3264000,3295000
Mizoram,1136000,1148000,1160000,1172000,1184000,1195000,1207000,1219000
Nagaland,2049000,2070000,2092000,2113000,2134000,2155000,2177000,2198000
Odisha,42743000,42974000,43188000,43369000,43550000,43732000,43913000,44076000
Punjab,28674000,28954000,29220000,29460000,29460000,29699000,29939000,30179000
Rajasthan,72343000,73481000,74576000,75584000,76592000,77601000,78609000,79572000
Sikkim,632000,639000,646000,652000,659000,665000,672000,678000
Tamil Nadu,73806000,74303000,74753000,75106000,75460000,75813000,76167000,76479000
Telangana,35951000,36243000,36525000,36778000,37030000,37283000,37536000,37771000
Tripura,1939000,1959000,1979000,1998000,2018000,2037000,2056000,2075000
Uttarakhand,10532000,10666000,10798000,10927000,11055000,11184000,11313000,11439000
Uttar Pradesh,210662000,213917000,217075000,220039000,223003000,225967000,228931000,231704000
West Bengal,93811000,94572000,95282000,95891000,96500000,97109000,97719000,98285000
A & N Islands,388000,390000,392000,394000,396000,398000,399000,401000
Chandigarh,1109000,1125000,1141000,1155000,1170000,1184000,1198000,1212000
D & N Haveli and Daman & Diu,717000,756000,802000,861000,920000,979000,1038000,1108000
Delhi,18047000,18425000,18803000,19182000,19561000,19940000,20319000,20703000
Jammu & Kashmir,12687000,12813000,12931000,13033000,13135000,13237000,13340000,13440000
Ladakh,283000,286000,288000,290000,292000,294000,296000,298000
Lakshadweep,66000,66000,67000,67000,67000,68000,68000,68000
Puducherry,1351000,1381000,1413000,1447000,1481000,1515000,1549000,1584000
